N20,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),0.221969,0.1627998,0.0020605,0.0004213,0.0002491,
Residual,9.89E-09,0.001623795,9.64E-13,9.64E-13,9.64E-13,
N40,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),1.2239036,1.9037776,0.0038157,0.0002949,0.0002683,
Residual,2.82E-08,0.00402288,1.51E-12,1.51E-12,1.51E-12,
N50,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),2.2834929,4.7695017,0.004944,0.0003475,0.0002502,
Residual,3.97E-08,0.00488292,2.84E-12,2.84E-12,2.84E-12,
N80,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),9.2133222,30.3076295,0.011431,0.0004182,0.0009045,
Residual,8.03E-08,0.008000391,2.74E-12,2.74E-12,2.74E-12,
N100,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),24.7788866,101.4836078,0.0187865,0.0011706,0.0010545,
Residual,1.12E-07,0.010108846,5.31E-12,5.31E-12,5.31E-12,
N20,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),0.3145109,0.2193415,0.0042365,0.0025042,0.0052898,
Residual,9.89E-09,0.001623795,9.64E-13,9.64E-13,9.64E-13,
N40,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),2.0653242,2.8927313,0.0094602,0.0007234,0.0024774,
Residual,2.82E-08,0.00402288,1.51E-12,1.51E-12,1.51E-12,
N50,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),3.2558502,6.1484323,0.0045977,0.0003724,0.0002702,
Residual,3.97E-08,0.00488292,2.84E-12,2.84E-12,2.84E-12,
N80,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),11.2092623,38.8633229,0.0145916,0.000387,0.0015627,
Residual,8.03E-08,0.008000391,2.74E-12,2.74E-12,2.74E-12,
N100,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky,
Time (s),20.9112452,71.8478337,0.0166622,0.0004461,0.0006058,
Residual,1.12E-07,0.010108846,5.31E-12,5.31E-12,5.31E-12,
N20,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky
Time (s),0.2500339999999994,0.18897499999999923,0.0036544000000002796,0.00029990000000168493,0.00022760000000054958
Residual,9.888900914608746e-09,0.0016237949321544454,9.640827973021957e-13,9.640827973021957e-13,9.640827973021957e-13
N40,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky
Time (s),1.9951993000000012,2.4604748,0.006275999999999726,0.0003606000000004883,0.00245020000000018
Residual,2.8230832399579904e-08,0.004022880360070857,1.5090684071920408e-12,1.5090684071920408e-12,1.5090684071920408e-12
N50,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky
Time (s),3.0856654000000017,4.940083699999999,0.00658979999999687,0.0007821999999997331,0.0005366000000002202
Residual,3.967396135497494e-08,0.004882920210437115,2.8415549193424265e-12,2.8415549193424265e-12,2.8415549193424265e-12
N80,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky
Time (s),10.179070800000002,32.52850320000001,0.012007600000004004,0.0008102999999977101,0.004910699999996382
Residual,8.034818403194764e-08,0.008000390861250803,2.7426467401398055e-12,2.7426467401398055e-12,2.7426467401398055e-12
N100,Gauss-Seidel (Original),Gauss-Seidel (Matrix),Gauss-Jordan,Conjugate Gradient,Cholesky
Time (s),19.644369100000006,79.42087620000001,0.029564299999975674,0.0014510999999970409,0.0019524999999873671
Residual,1.1236294624589691e-07,0.01010884570852091,5.312732304408523e-12,5.312732304408523e-12,5.312732304408523e-12
